State,Trump,Clinton,All Others,Total Vote,Trump Vote Share,Clinton Vote Share,Immigrant Population,Unauthorized Immigrant Population Share
AL,1318255.0,729547.0,75570.0,2123372.0,0.6208309236440906,0.3435794575797364,55000,0.012
AK,163387.0,116454.0,38767.0,318608.0,0.5128151207753728,0.36550871290111986,5000,0.01
AZ,1252401.0,1161167.0,159597.0,2573165.0,0.4867161647232105,0.4512602184469321,275000,0.039
AR,684872.0,380494.0,65310.0,1130676.0,0.6057190565643916,0.336519038168317,55000,0.019
CA,4483814.0,8753792.0,943998.0,14181604.0,0.31617114678988356,0.6172638863699762,2200000,0.056
CO,1202484.0,1338870.0,238893.0,2780247.0,0.4325097734122184,0.48156512712719407,190000,0.034
CT,673215.0,897572.0,74133.0,1644920.0,0.40926914378814777,0.5456630109670987,120000,0.035
DE,185127.0,235603.0,23084.0,443814.0,0.41712744528113127,0.5308597745902562,30000,0.03
FL,4617886.0,4504975.0,297178.0,9420039.0,0.49021941416590736,0.4782331580580505,775000,0.038
GA,2089104.0,1877963.0,147665.0,4114732.0,0.50771326054771,0.4563998335736082,400000,0.038
HI,128847.0,266891.0,33199.0,428937.0,0.3003867700851174,0.6222149173421738,45000,0.033
ID,409055.0,189765.0,91435.0,690255.0,0.5926143236919689,0.27492013820979205,35000,0.022
IL,2146015.0,3090729.0,299680.0,5536424.0,0.3876175307382527,0.558253666987933,400000,0.032
IN,1557286.0,1033126.0,144546.0,2734958.0,0.5694003344841128,0.37774839686752043,100000,0.015
IA,800983.0,653669.0,111379.0,1566031.0,0.5114732722404601,0.4174048917294741,50000,0.017
KS,671018.0,427005.0,86379.0,1184402.0,0.5665458180583958,0.36052370732234496,75000,0.026
KY,1202971.0,628854.0,92324.0,1924149.0,0.6251963855190009,0.3268218833364776,35000,0.008
LA,1178638.0,780154.0,70240.0,2029032.0,0.580886846535688,0.3844956609851397,70000,0.015
ME,335593.0,357735.0,54599.0,747927.0,0.4486975333154171,0.47830202680208095,"<5,000",0.004
MD,943169.0,1677928.0,160349.0,2781446.0,0.3390930472854767,0.6032574423519277,275000,0.045
MA,1090893.0,1995196.0,238957.0,3325046.0,0.3280835814000769,0.6000506459158761,250000,0.038
MI,2279543.0,2268839.0,250902.0,4799284.0,0.47497564219996147,0.4727453095086684,100000,0.01
MN,1322951.0,1367716.0,254146.0,2944813.0,0.4492478809350543,0.4644491857377701,95000,0.017
MS,700714.0,485131.0,23512.0,1209357.0,0.5794103808883564,0.40114788271784096,20000,0.007
MO,1594511.0,1071068.0,143026.0,2808605.0,0.5677234783816165,0.3813523083523671,60000,0.01
MT,279240.0,177709.0,40198.0,497147.0,0.5616849744642932,0.35745765337012997,"<5,000",0.003
NE,495961.0,284494.0,63772.0,844227.0,0.5874735112712576,0.33698756377135536,60000,0.031
NV,512058.0,539260.0,74067.0,1125385.0,0.4550069531760242,0.4791782367811904,210000,0.071
NH,345790.0,348526.0,49980.0,744296.0,0.46458666981953417,0.46826262669690555,10000,0.007
NJ,1601933.0,2148278.0,123835.0,3874046.0,0.4135038665002945,0.554530844496942,475000,0.052
NM,319667.0,385234.0,93418.0,798319.0,0.40042514333242724,0.48255647178634103,60000,0.028
NY,2819533.0,4556118.0,345791.0,7721442.0,0.36515627521387845,0.5900605094229808,725000,0.036
NC,2362631.0,2189316.0,189617.0,4741564.0,0.49828094696180414,0.46172866168209475,325000,0.031
ND,216794.0,93758.0,33808.0,344360.0,0.629556278313393,0.27226739458706006,5000,0.007
OH,2841005.0,2394164.0,261318.0,5496487.0,0.5168765067578619,0.4355807627672002,90000,0.008
OK,949136.0,420375.0,83481.0,1452992.0,0.6532286481962736,0.2893168028454389,85000,0.022
OR,782403.0,1002106.0,216827.0,2001336.0,0.39094035184496756,0.5007185200286208,110000,0.026
PA,2970733.0,2926441.0,268304.0,6165478.0,0.48183336312285924,0.47464949189665423,170000,0.013
RI,180543.0,252525.0,31076.0,464144.0,0.3889805749939674,0.5440660657037472,30000,0.028
SC,1155389.0,855373.0,92265.0,2103027.0,0.5493933268569543,0.4067341978966509,85000,0.017
SD,227721.0,117458.0,24914.0,370093.0,0.615307503789588,0.3173742815994899,5000,0.007
TN,1522925.0,870695.0,114407.0,2508027.0,0.6072203369421462,0.34716332798650096,130000,0.02
TX,4685047.0,3877868.0,406311.0,8969226.0,0.5223468557933538,0.4323525798101196,1600000,0.057
UT,515231.0,310676.0,305523.0,1131430.0,0.4553803593682331,0.274587027036582,95000,0.032
VT,95369.0,178573.0,41125.0,315067.0,0.3026943475514732,0.5667778599472493,"<5,000",0.001
VA,1769443.0,1981473.0,233715.0,3984631.0,0.44406696630127107,0.4972789199301014,275000,0.034
WA,1221747.0,1742718.0,352554.0,3317019.0,0.3683268018663746,0.5253868006182659,240000,0.033
WV,489371.0,188794.0,36258.0,714423.0,0.6849877453553427,0.26426080907249627,"<5,000",0.002
WI,1405284.0,1382536.0,188330.0,2976150.0,0.4721818456731012,0.4645384137224266,75000,0.013
WY,174419.0,55973.0,25457.0,255849.0,0.6817263307654124,0.2187735734749794,5000,0.012
